table_name,column_name,data_type
learning_history,completed_at,timestamp with time zone
episodes,quiz_json,jsonb
episodes,created_at,timestamp with time zone
user_streaks,user_id,uuid
user_streaks,current_streak,integer
user_streaks,longest_streak,integer
user_streaks,last_active_date,date
learning_history,id,uuid
learning_history,user_id,uuid
learning_history,episode_id,uuid
learning_history,score,integer
learning_history,duration_seconds,integer
users_profile,id,uuid
users_profile,last_sign_in_at,timestamp with time zone
profiles,id,uuid
profiles,created_at,timestamp with time zone
shows,id,uuid
shows,created_at,timestamp with time zone
episodes,id,uuid
episodes,show_id,uuid
users_profile,email,text
users_profile,full_name,text
users_profile,avatar_url,text
shows,cover_image,text
episodes,title,text
profiles,email,text
profiles,full_name,text
profiles,avatar_url,text
episodes,audio_url,text
episodes,transcript,text
shows,apple_show_url,text
shows,title,text